symbol,date,HotScore,regularMarketPrice,regularMarketChangePercent,VolumeSpike,averageDailyVolume3Month,marketCap
ZYME,2025-11-26 20:46:27,0.7981770833333333,27.535,5.175705,1.7969454750683893,1077287.0,2085373824.0
AA,2025-11-26 21:03:59,0.773989218328841,41.56,6.0204096,1.0396307782683716,6727448.0,10762545152.0
AAUC,2025-11-26 21:03:59,0.85,19.21,9.95993,1.1952934440643703,342331.0,2382039808.0
ALAB,2025-11-26 21:03:59,0.7754716981132076,154.22,6.5202394,0.8197793493328125,6266829.0,26048315392.0
ANF,2025-11-26 21:03:59,0.8845013477088948,95.1728,5.4663124,2.120174497493688,2070173.0,4534347776.0
ARMN,2025-11-26 21:03:59,0.7389487870619946,14.015,6.8216496,0.9859079065389226,1735867.0,2855784704.0
ARWR,2025-11-26 21:03:59,0.9578167115902964,57.71,23.338316,3.002980076578623,2311350.0,7978843136.0
ASML,2025-11-26 21:03:59,0.7851752021563343,1040.97,3.7628837,0.9887391431881754,1564801.0,404050083840.0
ATMU,2025-11-26 21:03:59,0.9067385444743936,51.04,6.266921,3.6694026159110047,679228.0,4193037312.0
BBAR,2025-11-26 21:03:59,0.8175202156334233,15.9299,10.778164,1.1393334005207936,1468528.0,3286257152.0
BE,2025-11-26 21:03:59,0.7628032345013477,101.18,7.3072424,0.8391629141447746,14946615.0,23930157056.0
BMA,2025-11-26 21:03:59,0.8610512129380054,82.54,7.909535,1.0230039632296202,800862.0,5277718016.0
BMNR,2025-11-26 21:03:59,0.7796495956873315,31.715,9.702526,1.0840869781381346,44949778.0,12180710400.0
BURL,2025-11-26 21:03:59,0.8648247978436658,260.8,4.4662504,1.5860688152246405,1064590.0,16439531520.0
CIFR,2025-11-26 21:03:59,0.7474393530997304,19.15,9.303648,1.0912547333048424,51742653.0,7566012928.0
CLSK,2025-11-26 21:03:59,0.8237196765498652,13.45,13.790187,2.1256766478836786,32618701.0,3595666176.0
COIN,2025-11-26 21:03:59,0.7814016172506739,264.97,4.269639,0.9803773177606924,9561384.0,71447519232.0
CRDO,2025-11-26 21:03:59,0.7784366576819407,164.01,6.375666,0.8279864083524823,6165257.0,28373008384.0
DELL,2025-11-26 21:03:59,0.8828840970350404,133.24,5.8132205,2.004441594404838,7730107.0,89586999296.0
DUOL,2025-11-26 21:03:59,0.9142857142857144,188.43,7.208693,1.378065503996678,1926600.0,8710620160.0
ECG,2025-11-26 21:03:59,0.7846361185983828,90.77,3.796455,1.254237110988478,478392.0,4629866496.0
ETOR,2025-11-26 21:03:59,0.820754716981132,41.98,5.1866693,1.4349516609016102,1167378.0,3513893632.0
