symbol,date,HotScore,TrendScore,regularMarketPrice,regularMarketChangePercent,VolumeSpike,averageDailyVolume3Month,MomentumScore,VolumeScore,VolatilityScore,marketCap
FORM,2026-02-05 18:07:37,0.9330792682926832,0.8201219512195121,84.78,18.457453,1.9290261009333505,1094980.0,0.9969512195121952,0.9085365853658536,0.9207317073170732,6571899392.0
GL,2026-02-05 18:07:37,0.7314024390243903,0.9115853658536586,150.635,4.0153203,0.8144604438957411,505434.0,0.8384146341463414,0.551829268292683,0.7682926829268293,12201967616.0
GSK,2026-02-05 18:07:37,0.7870426829268293,0.6402439024390244,59.465,3.9052956,1.7233687653834806,4375229.0,0.8201219512195121,0.8902439024390244,0.6219512195121951,119964221440.0
HSY,2026-02-05 18:07:37,0.9187499999999998,0.8536585365853658,222.12,7.935275,1.8577969596983264,1697200.0,0.9420731707317072,0.902439024390244,0.9390243902439024,45042630656.0
IDCC,2026-02-05 18:07:37,0.8923780487804878,0.9817073170731708,355.0,13.104154,1.06944550613536,274719.0,0.9908536585365854,0.7103658536585366,0.9939024390243902,9159837696.0
ITT,2026-02-05 18:07:37,0.9240853658536584,0.8841463414634146,202.18,9.1979475,1.6267810688695177,876440.0,0.9634146341463414,0.8841463414634146,0.945121951219512,17395570688.0
KGS,2026-02-05 18:07:37,0.8573170731707318,0.7560975609756098,45.795,8.007068,1.7532158170557408,1563755.0,0.945121951219512,0.8963414634146342,0.6859756097560976,3923891968.0
KLIC,2026-02-05 18:07:37,0.8870426829268292,0.8292682926829268,62.0,11.370581,1.5111413484847092,652614.0,0.9817073170731708,0.8628048780487805,0.7926829268292683,3246505984.0
LASR,2026-02-05 18:07:37,0.7971036585365854,0.8109756097560976,46.0743,5.0525107,1.3169265745771177,869154.0,0.8932926829268293,0.7987804878048781,0.6189024390243902,2339929600.0
LITE,2026-02-05 18:07:37,0.8164634146341463,0.8353658536585366,483.93,3.9502478,1.0818941289766766,4728886.0,0.8292682926829268,0.7195121951219512,0.9542682926829268,34552602624.0
MCK,2026-02-05 18:07:37,0.9611280487804876,0.9847560975609756,956.02,16.304138,1.7788621807375042,704945.0,0.9939024390243902,0.899390243902439,1.0,118913966080.0
MTSI,2026-02-05 18:07:37,0.8333841463414635,0.875,225.61,4.9202447,1.1145649557450057,1277031.0,0.8780487804878049,0.7408536585365854,0.8963414634146342,16923206656.0
OHI,2026-02-05 18:07:37,0.7484756097560975,0.7347560975609756,45.7,6.3780303,0.8999589550372068,1858937.0,0.9176829268292684,0.6310975609756098,0.6646341463414634,13880872960.0
OSW,2026-02-05 18:07:37,0.7417682926829269,0.7774390243902439,20.73,3.2884896,3.461414197947009,550319.0,0.7347560975609756,0.972560975609756,0.3323170731707317,2128913536.0
PATK,2026-02-05 18:07:37,0.8455792682926829,0.9359756097560976,141.36,4.9365253,1.3436290961833606,296465.0,0.8810975609756098,0.8109756097560976,0.7987804878048781,4704273408.0
PTC,2026-02-05 18:07:37,0.8143292682926828,0.8719512195121951,157.05,3.775211,1.441240110822,949270.0,0.801829268292683,0.8384146341463414,0.7652439024390244,18759350272.0
ROAD,2026-02-05 18:07:37,0.8789634146341464,0.8963414634146342,124.37,8.364561,1.312365925080497,480142.0,0.9542682926829268,0.7957317073170732,0.8841463414634146,7030216704.0
RRX,2026-02-05 18:07:37,0.9704268292682926,0.8871951219512195,200.935,12.694893,3.492363881943703,805514.0,0.9878048780487804,0.975609756097561,0.972560975609756,13340008448.0
SIRI,2026-02-05 18:07:37,0.8455792682926829,0.5365853658536586,22.45,8.29716,4.443759251881467,4068767.0,0.951219512195122,0.9908536585365854,0.5609756097560976,7559823360.0
SITM,2026-02-05 18:07:37,0.9748475609756098,0.9786585365853658,423.392,21.572927,2.363301379015677,348727.0,1.0,0.9359756097560976,0.9969512195121952,11050798080.0
