,symbol,HotScore,MomentumScore,VolumeScore,VolatilityScore,TrendScore,VolumeSpike,marketCap,regularMarketPrice
129,AAOI,0.7248768472906403,0.955665024630542,0.5862068965517241,0.6748768472906403,0.5024630541871922,0.3197266938175854,2035423488.0,29.81
130,AAOI,0.7274111675126903,0.8781725888324873,0.4923857868020304,0.9035532994923858,0.6700507614213198,0.4915714488675146,10873489408.0,128.575
131,AAOI,0.7278037383177569,0.9813084112149532,0.4065420560747663,0.897196261682243,0.6261682242990654,0.4549416866285607,9493121024.0,118.305
132,AAOI,0.7304964539007092,0.8297872340425532,0.7304964539007093,0.6595744680851063,0.524822695035461,0.4798992359576882,3222810880.0,47.2
133,AAOI,0.7314553990610329,0.9154929577464788,0.4553990610328638,0.9154929577464788,0.6854460093896714,0.5423022399241669,10942413824.0,129.39
134,AAOI,0.7323899371069181,0.8616352201257862,0.6415094339622641,0.6855345911949685,0.6918238993710691,1.2376721133449076,3684382720.0,53.96
135,AAOI,0.7330798479087453,0.9543726235741444,0.5665399239543726,0.7262357414448669,0.5551330798479087,0.5107707086206521,2045665408.0,29.96
136,AAOI,0.7342560553633217,0.9584775086505192,0.5640138408304498,0.7335640138408305,0.5467128027681661,0.5766121319325425,2049762304.0,30.02
137,AAOI,0.73485401459854,0.9452554744525548,0.5766423357664233,0.7262773722627737,0.5693430656934306,0.5468500339990997,2029961088.0,29.73
138,AAOI,0.7354477611940298,0.6393034825870647,0.9253731343283582,0.6840796019900498,0.5099502487562189,1.0731621412384946,6897162752.0,88.795
139,AAOI,0.7366071428571429,0.8526785714285714,0.7544642857142857,0.625,0.4910714285714285,0.4926467640531203,2004014720.0,29.35
140,AAOI,0.7402702702702703,0.9351351351351352,0.7243243243243244,0.5783783783783784,0.4378378378378378,0.2895095022853597,2566299648.0,37.585
141,AAOI,0.7444968553459119,0.8616352201257862,0.6698113207547169,0.6918238993710691,0.7012578616352201,1.236962764653272,3684382720.0,53.96
142,AAOI,0.7445714285714284,0.9542857142857144,0.7485714285714286,0.5371428571428571,0.4114285714285714,0.1594177155041756,2579272960.0,37.775
143,AAOI,0.7450877192982457,0.8,0.7684210526315789,0.6210526315789474,0.7192982456140351,1.0562233783302213,3648194560.0,53.43
144,AAOI,0.7491007194244603,0.974820143884892,0.5755395683453237,0.7517985611510791,0.5611510791366906,0.5667470478434721,2059321472.0,30.16
145,AAOI,0.7530640668523677,0.9080779944289692,0.637883008356546,0.83008356545961,0.4596100278551532,0.4655066570324567,9980595200.0,124.38
146,AAOI,0.7556737588652482,0.9739952718676124,0.6170212765957447,0.7375886524822695,0.5130023640661938,0.8879371211393359,2703883520.0,39.6
147,AAOI,0.7574468085106382,0.9078014184397164,0.6595744680851063,0.7695035460992907,0.549645390070922,0.577413039124952,7695281664.0,95.9
148,AAOI,0.7578073089700996,0.7142857142857143,0.8471760797342193,0.770764119601329,0.5714285714285714,0.8851282696609217,11941169152.0,141.1999
149,AAOI,0.759670781893004,0.7983539094650206,0.7901234567901234,0.6584362139917695,0.720164609053498,0.9718867225926466,3666316032.0,53.6954
150,AAOI,0.7630909090909092,0.88,0.5709090909090909,0.9345454545454546,0.6836363636363636,0.5546403612644255,14379503616.0,179.2
151,AAOI,0.7638075313807531,0.9414225941422594,0.7531380753138075,0.6276150627615062,0.4518828451882845,0.351530189315822,2618533632.0,38.35
152,AAOI,0.7651162790697674,0.8062015503875969,0.7596899224806202,0.7131782945736435,0.7441860465116279,0.547866345444673,3695307520.0,54.12
153,AAOI,0.7656398104265404,0.9739336492890996,0.6421800947867299,0.7417061611374408,0.5165876777251185,0.8879371211393359,2703883520.0,39.6
154,AAOI,0.766193853427896,0.9739952718676124,0.6430260047281324,0.7423167848699763,0.5177304964539007,0.8879371211393359,2703883520.0,39.6
155,AAOI,0.7675324675324675,0.9264069264069263,0.7272727272727273,0.6753246753246753,0.5367965367965368,0.5874089937068259,2018353408.0,29.56
156,AAOI,0.7692753623188406,0.7884057971014493,0.9565217391304348,0.5565217391304348,0.472463768115942,1.7494973099391955,2500068096.0,36.615
157,AAOI,0.7730633802816902,0.9612676056338028,0.7183098591549296,0.6830985915492958,0.4859154929577465,0.4611799785056272,2645163008.0,38.74
158,AAOI,0.7739325842696629,0.8786516853932584,0.6674157303370787,0.8786516853932584,0.5707865168539326,0.8367594849402359,15971520512.0,199.04
159,AAOI,0.7747540983606558,0.9770491803278688,0.740983606557377,0.6622950819672131,0.4098360655737705,0.6530348590727522,2621947904.0,38.4
160,AAOI,0.7755813953488371,0.8737541528239202,0.6179401993355482,0.9169435215946844,0.7009966777408638,0.7445591959986192,11798075392.0,151.89
161,AAOI,0.7766033254156769,0.9049881235154394,0.7220902612826603,0.7529691211401425,0.5653206650831354,1.0020149030283052,3270606848.0,47.9
162,AAOI,0.7773087071240106,0.8364116094986808,0.7044854881266491,0.8812664907651715,0.6174142480211082,0.8483990319870535,13768054784.0,171.58
163,AAOI,0.7785522788203754,0.9812332439678284,0.7024128686327078,0.707774798927614,0.4772117962466488,0.822650971436507,2628775680.0,38.5
164,AAOI,0.7804635761589404,0.9701986754966888,0.7649006622516556,0.6456953642384106,0.4403973509933774,0.4264650023795745,2656770304.0,38.91
165,AAOI,0.7811926605504587,0.9755351681957186,0.7339449541284404,0.6758409785932722,0.4770642201834862,0.7455048518783549,2603744256.0,38.1334
166,AAOI,0.7829039812646369,0.8009367681498829,0.9648711943793912,0.585480093676815,0.477751756440281,2.153271380242668,2494264320.0,36.53
167,AAOI,0.7830882352941176,0.6617647058823529,0.9485294117647058,0.7977941176470589,0.5992647058823529,0.8533904333409233,6817063936.0,99.84
168,AAOI,0.7833333333333333,0.9833333333333332,0.5547619047619048,0.9404761904761904,0.569047619047619,0.827650806391875,10066454528.0,125.45
169,AAOI,0.7852722772277227,0.9653465346534652,0.7103960396039604,0.7351485148514851,0.5173267326732673,0.8201775259425759,2692269312.0,39.4299
170,AAOI,0.7907008086253369,0.8328840970350404,0.9595687331536388,0.5795148247978437,0.4743935309973046,1.8565532817059809,2509169664.0,36.7483
171,AAOI,0.7912935323383083,0.6169154228855721,0.9104477611940298,0.8656716417910447,0.835820895522388,1.0901511983899976,9331421184.0,124.09
172,AAOI,0.7968030690537085,0.8567774936061381,0.9565217391304348,0.5805626598465473,0.4603580562659846,1.8920248508558728,2515089664.0,36.835
173,AAOI,0.7972303206997085,0.9737609329446064,0.685131195335277,0.7959183673469388,0.5743440233236151,1.095684844190201,2074342912.0,30.38
174,AAOI,0.79727047146402,0.858560794044665,0.957816377171216,0.5794044665012407,0.456575682382134,1.9625970670470927,2510651392.0,36.77
175,AAOI,0.7973760932944607,0.97667638483965,0.685131195335277,0.793002915451895,0.5714285714285714,1.095684844190201,2074342912.0,30.38
176,AAOI,0.797972972972973,0.9702702702702702,0.7405405405405405,0.7297297297297297,0.5324324324324324,0.738358518094821,2710711552.0,39.7
177,AAOI,0.7983282674772036,0.9848024316109424,0.7507598784194529,0.7112462006079028,0.486322188449848,0.5558911413541753,2689886208.0,39.395
178,AAOI,0.7989766081871345,0.9766081871345028,0.6871345029239766,0.7953216374269005,0.5760233918128655,1.095684844190201,2074342912.0,30.38
179,AAOI,0.7992187499999999,0.9791666666666666,0.734375,0.7395833333333334,0.515625,0.7986047649583631,2707980288.0,39.66
180,AAOI,0.7993055555555556,0.9861111111111112,0.6111111111111112,0.9189814814814816,0.5648148148148148,0.8503346985450174,9569753088.0,119.26
181,AAOI,0.7995049504950494,0.849009900990099,0.9628712871287128,0.5891089108910891,0.4752475247524752,1.997324083326516,2512699904.0,36.8
182,AAOI,0.7995639534883721,0.9738372093023256,0.6918604651162791,0.7965116279069767,0.5726744186046512,1.095684844190201,2074342912.0,30.38
183,AAOI,0.8001457725947523,0.97667638483965,0.6938775510204082,0.793002915451895,0.5685131195335277,1.095684844190201,2074342912.0,30.38
184,AAOI,0.8002994011976048,0.9520958083832336,0.7664670658682635,0.7305389221556886,0.5269461077844312,0.4988710703446373,2212070144.0,32.3971
185,AAOI,0.8004373177842566,0.97667638483965,0.6938775510204082,0.793002915451895,0.5714285714285714,1.111807232743144,2074342912.0,30.38
186,AAOI,0.801864406779661,0.6542372881355932,0.9694915254237289,0.8169491525423729,0.7016949152542373,1.905368749248216,8346192384.0,107.45
187,AAOI,0.8035087719298245,0.95906432748538,0.7953216374269005,0.695906432748538,0.5029239766081871,0.4409504214986075,3452231168.0,50.56
188,AAOI,0.8036697247706422,0.981651376146789,0.7370030581039755,0.7385321100917431,0.5443425076452599,0.661626362855698,2708663040.0,39.67
189,AAOI,0.803790087463557,0.967930029154519,0.7346938775510204,0.7667638483965015,0.5451895043731778,0.9245359342421904,2061711232.0,30.195
190,AAOI,0.8039039039039039,0.981981981981982,0.7537537537537538,0.7237237237237237,0.5165165165165165,0.6351464276218332,2707980288.0,39.66
191,AAOI,0.8055851063829788,0.952127659574468,0.7659574468085106,0.7553191489361702,0.5319148936170213,0.5626453293537982,2220120576.0,32.515
192,AAOI,0.8058011049723757,0.947513812154696,0.7541436464088398,0.7720994475138122,0.5580110497237569,0.7852705790343163,3312940288.0,48.52
193,AAOI,0.8062663185378589,0.9399477806788512,0.6214099216710183,0.9530026109660574,0.6919060052219321,1.0357464167919046,12219851776.0,157.32
194,AAOI,0.8063218390804597,0.993103448275862,0.6183908045977011,0.935632183908046,0.5517241379310345,0.9966070704312606,8843555840.0,110.21
