symbol,HotScore,MomentumScore,VolumeScore,VolumeSpike,VolatilityScore,TrendScore,cluster,watch_label,final_signal
QCOM,0.8679761904761903,0.95,0.8095238095238095,1.2459182501949868,0.95,0.6214285714285714,0,❌ IGNORE,IGNORE
CRDO,0.8716666666666666,0.8785714285714286,0.8928571428571429,1.495310938088009,0.9071428571428573,0.7023809523809523,0,❌ IGNORE,IGNORE
RMBS,0.8741666666666665,0.9595238095238096,0.8238095238095238,1.289189689520175,0.8714285714285714,0.7571428571428571,0,❌ IGNORE,IGNORE
SECZ,0.8758333333333334,0.9976190476190476,0.9857142857142858,2.9619505421686187,0.6642857142857143,0.4880952380952381,3,❌ IGNORE,IGNORE
SHOP,0.8776190476190475,0.9071428571428573,0.9214285714285714,1.7123283822846778,0.8738095238095238,0.6285714285714286,0,❌ IGNORE,IGNORE
P,0.8780952380952382,0.9404761904761904,0.8595238095238096,1.359974815743174,0.8761904761904762,0.7285714285714285,0,❌ IGNORE,IGNORE
AKAM,0.8886904761904761,0.9761904761904762,0.8214285714285714,1.272793577211572,0.9214285714285714,0.7523809523809524,0,❌ IGNORE,IGNORE
MSTR,0.8926190476190475,0.9523809523809524,0.9142857142857144,1.6795117064751557,0.938095238095238,0.5166666666666667,0,❌ IGNORE,IGNORE
TWLO,0.8929761904761905,0.9428571428571428,0.7976190476190477,1.2235349826277933,0.969047619047619,0.9,0,👀 WATCH,WATCH
HHH,0.9166666666666666,0.938095238095238,0.9714285714285714,2.334632864450404,0.7880952380952381,0.9071428571428573,0,👀 WATCH,WATCH
BURL,0.9190476190476192,0.861904761904762,0.9571428571428572,1.9622271470317127,0.9404761904761904,0.9428571428571428,0,⚠️ OVERHEATED,IGNORE
ALAB,0.9240476190476188,0.9785714285714284,0.85,1.3448861161770362,0.988095238095238,0.8642857142857143,0,⚠️ OVERHEATED,IGNORE
AMD,0.9285714285714284,0.9547619047619048,0.930952380952381,1.7340328735569162,0.9952380952380953,0.6952380952380952,0,⚠️ OVERHEATED,IGNORE
NICE,0.9369047619047618,0.9452380952380952,0.9642857142857144,2.0690560461969327,0.8785714285714286,0.9285714285714286,0,⚠️ OVERHEATED,IGNORE
META,0.9597619047619048,0.9666666666666668,0.9809523809523808,2.595232870889266,1.0,0.780952380952381,0,🔥 HOT,STRONG BUY
ARM,0.9715476190476192,0.9952380952380953,0.9738095238095238,2.3419829526764944,0.9928571428571428,0.8380952380952381,0,🔥 HOT,STRONG BUY
GRAL,0.9848809523809524,1.0,0.9928571428571428,4.87413772576703,0.9785714285714284,0.9166666666666666,0,🔥 HOT,STRONG BUY
LION,0.7595294117647059,0.8988235294117647,0.9176470588235294,1.807944233420091,0.4094117647058823,0.4188235294117647,3,❌ IGNORE,IGNORE
NXST,0.7618823529411763,0.8611764705882353,0.5317647058823529,1.0088926964659672,0.8870588235294118,0.9694117647058824,1,👀 WATCH,WATCH
ONC,0.7625882352941176,0.6941176470588235,0.6611764705882353,1.1422114941543342,0.9458823529411764,0.9905882352941175,1,👀 WATCH,WATCH
TSEM,0.7638823529411765,0.7223529411764706,0.6870588235294117,1.1829774836377067,0.903529411764706,0.8988235294117647,1,👀 WATCH,WATCH
MXL,0.7794117647058822,0.8588235294117647,0.72,1.2261114138533844,0.7788235294117647,0.7105882352941176,1,❌ IGNORE,IGNORE
