symbol,marketCap,trailingPE,forwardPE,dividendYield,operatingMargins,debtToEquity,returnOnAssets,returnOnEquity,profitMargins,currentRatio,quickRatio,52WeekChange,revenueGrowth,currentPrice,health_score,pe_score,profit_score,op_margin_score,roe_score,debt_score,liquidity_score,growth_score,swing_score,avg_volatility,avg_volume_spike,range_pct,composite_score
KGC,34151530496,12.170214,8.327219,0.51,0.55086,8.204,0.20349,0.35467,0.35988,2.842,1.79,0.8221216,0.608,28.6,92.256214,22.170214,20.0,15.0,15.0,1.7959999999999994,3.289999999999999,15.0,0.6343547779034086,0.6788899292744086,0.9248629406845821,0.29978177667513806,86.50362483370981
MSFT,3179741446144,25.509533,22.130161,0.85,0.46326,30.271,0.14814,0.34013999,0.39341998,1.283,1.142,-0.08625555,0.183,428.05,88.40546699999999,14.490466999999999,20.0,15.0,15.0,0.0,8.915,15.0,0.6522735058877043,0.9204812545450227,0.5923321911020732,0.2746969134853619,85.68290038911505
INTU,82602704896,18.413416,11.046467,1.59,0.46974,33.448,0.09465,0.22496,0.21907,1.453,0.624,-0.5937598,0.104,301.98,91.75158400000001,21.586584,20.0,15.0,15.0,0.0,9.765,10.4,0.6132240435105273,0.9727525145771773,1.498220389403133,0.49680829606149557,84.92063650864887
SEZL,4067860736,23.53502,18.54657,,0.61024,73.791,0.47544,0.91954005,0.30831,3.652,3.571,-0.08518547,0.292,120.97,81.46498,16.46498,20.0,15.0,15.0,0.0,0.0,15.0,0.6905263268082436,0.866678556522028,0.7415848920899605,0.7949035534623542,84.57796321822337
FUTU,13427828736,10.5834255,7.7599225,2.71,0.64877,54.246,0.0468,0.27836,0.45025003,1.146,1.143,-0.10559583,0.288,95.78,93.81342550000001,20.5834255,20.0,15.0,15.0,0.0,8.23,15.0,0.5903935856235036,0.9043603452251855,0.9064480924502564,0.46378101997669335,84.52831999045303
FRO,7604797952,8.413794,11.407275,9.16,0.51809,92.619,0.09212,0.35009,0.40192002,2.034,1.0,0.900717,0.669,34.16,90.743794,18.413794,20.0,15.0,15.0,0.0,7.330000000000001,15.0,0.6062574270940444,0.648047743909211,1.115258887337503,0.6327943946086384,83.97335906090811
ADBE,104453365760,15.059442,9.800947,,0.38762,58.34,0.18905,0.58774,0.29477,0.912,0.789,-0.38285166,0.12,258.42,94.000558,24.940558,20.0,15.0,15.0,0.0,7.0600000000000005,12.0,0.577348084727978,0.9725182147955531,1.3035091035496418,0.36166980474018384,83.8031356764449
ERO,3207590400,10.985715,6.680349,,0.34743,54.789,0.10572,0.32481,0.31633,1.296,0.647,0.9477987,1.104,30.76,94.965715,20.985715,20.0,15.0,15.0,0.0,8.98,15.0,0.5604504129419139,0.6652603196372848,1.3089503035438643,0.4798855111129153,83.22920946596928
PLNT,4077797888,18.530687,14.234175,,0.32513002,,0.083680004,,0.17771,2.071,1.686,-0.5099848,0.197,51.33,81.385313,21.469313,17.771,15.0,0.0,5.0,7.145,15.0,0.6696527303559442,0.6541716417172874,1.4743647220786706,0.8245181787124019,83.22597436365857
BAP,25942259712,12.501148,9.910844,4.37,0.48786,,0.0277,0.19148001,0.32900003,,,0.52529585,0.256,326.53,92.501148,22.501148,20.0,15.0,15.0,5.0,0.0,15.0,0.5788693781299883,0.9490476350500867,1.4996328366763654,0.3649104658369215,83.14070582515049
BSX,72608448512,20.43933,13.101643,,0.20603001,42.25,0.060749996,0.14661,0.17294,1.9,0.98,-0.53622484,0.116,48.85,86.11567,19.56067,17.294,15.0,14.661,0.0,8.0,11.600000000000001,0.6289919696496127,0.6822859073689166,0.9871594265817238,0.3286132984493606,83.06225997766765
AEM,88381399040,16.643126,12.188428,1.02,0.62821996,1.215,0.15502,0.22298001,0.39457,3.148,2.034,0.40627563,0.661,176.75,98.901874,23.356874,20.0,15.0,15.0,8.785,1.7599999999999998,15.0,0.5258071730320161,0.9114163433929935,0.5530192395387135,0.3630398924334175,83.04213271411271
TIGO,14624692224,11.860054,13.35026,3.44,0.21813999,375.071,0.057579998,0.37443,0.19142,0.615,0.492,1.3535686,0.451,87.29,91.577054,21.860053999999998,19.142,15.0,15.0,0.0,5.575,15.0,0.5782263794152747,0.7223625157580802,2.0445301573470207,0.5020644507862937,82.63312209034936
VIST,8527571968,11.154518,7.1750627,,0.24923,145.057,0.09295999,0.3508,0.25648,0.769,0.759,0.5753087,0.973,76.52,92.499518,21.154518,20.0,15.0,15.0,0.0,6.345000000000001,15.0,0.5615024187327853,0.6981168746820956,1.1585133931916796,0.5224567722870179,82.04852850688033
DAVE,3327191296,16.807322,12.666585,,0.38275,131.615,0.31998,1.1158999,0.37212002,3.857,1.533,0.19199693,0.467,261.69,88.192678,23.192678,20.0,15.0,15.0,0.0,0.0,15.0,0.5914169001995976,0.9555510836930847,0.6453779368337271,0.5230046709481977,81.75104802103297
